EarlyAccess;ReviewText;Review;ReviewLength;PlayHours;DatePosted
;good;Recommended;4;28.8;
;i hate this game;Recommended;13;852.9;
;ass and horrible game, never get it please;Not Recommended;35;86.3;
;faltu game;Recommended;9;9.6;
;its fun but when u play whit friends;Recommended;29;12.0;
;freakbob when ?;Recommended;13;32.4;
;Yelled racial slurs at my wall while playing.10/10;Recommended;43;7.9;
;Awesome game. I love the bombs!;Recommended;26;15.1;
;Delete orion zariel redraptor amber and ada;Recommended;37;91.3;
;dope;Recommended;4;133.1;
;no cross-platform friending this game sucks;Not Recommended;38;4.1;
;fun to play with friends;Recommended;20;15.2;
;amazing game;Recommended;11;123.5;
;The more I play it the more I hate it. Every new character is unbearable I wish I could quit for good. Also, could be an issue on my end. Cross progression requires me to log into my other device every 31 days which defeats the purpose. Please let me quit.;Not Recommended;206;267.2;
;the game is really funny, approved;Recommended;29;0.2;
;how 2 get hawk tuah?;Recommended;16;4.6;
;good game;Recommended;8;87.6;
;THIS GAME IS SOME RAGE BAIT THESE MATCHMAKING IS CRAZY U TAPPED IDIVIDUAL;Recommended;61;81.4;
;good game;Recommended;8;334.4;
;Odiei passei horas só em um elo. quero meu dima free;Recommended;42;341.0;
;help me;Recommended;6;1046.1;
;s;Recommended;1;70.5;
;This game has really fallen. Majority of the players (roughly 80%) are bots since they started bleeding players. They took away chat which is the only way to communicate with friends. Don't bother with this worsening garbage. Use to be a really fun game. Now its just getting desperate.;Not Recommended;238;1102.1;
;this has made me closer to suicide then any other game on all of steam, dont ever play it if you value your mental health, good day my fellow gamers;Not Recommended;119;122.7;
;its amazing;Recommended;10;519.5;
;I'm bad at this game so it sucks;Not Recommended;25;162.2;
;VERY GOOD;Recommended;8;40.0;
;m,k;Recommended;3;594.7;
;An alternative for those who want to play Smash Bros on PC. If you have anger issues, avoid this at all costs.;Recommended;89;374.4;
;This game makes me erect;Recommended;20;72.5;
;better than multiversus;Recommended;21;60.5;
;Dont play if you dont want to kill yourself;Not Recommended;35;203.5;
;m;Not Recommended;1;2.7;
;Brawlhalla is a disaster. The game is seriously unbalanced with overpowered legends ruining the experience. Matchmaking is a mess—you either face total newbies or get crushed by pros. Lag and inconsistent hitboxes make the game almost unplayable. The constant push for microtransactions only adds to the frustration. It's clear the developers are more interested in making money than fixing these issues. Save yourself the headache and look elsewhere.;Not Recommended;384;1518.2;
;peak;Recommended;4;214.7;
;very fun i like destroying all of my friends with funny moves;Recommended;50;754.9;
;it's free, waht more can you aske for;Recommended;30;2.1;
;This should be listed as self harm;Recommended;28;782.8;
;nice;Recommended;4;924.0;
;this is a fun game;Recommended;14;125.4;
;may be terrible at the game but admittedly I enjoy the game itself;Recommended;54;100.2;
;tis gam stupdi;Not Recommended;12;18.3;
;This game is the worst. Lance+axe should be something only the devil himself should be forced to take.;Not Recommended;85;88.5;
;toxic wastelands are probably outscaled by the toxicity in this game and the hitboxes are ♥♥♥♥, sometimes your keyboard wont register at all. trying to do a cig it will probably do the wrong one or your aiming the wrong direction;Not Recommended;189;37.9;
;This game slowly takes away your sanity match by match. It is bad for you, you know it is bad for you, but you just keep on playing.;Not Recommended;105;573.6;
;y;Recommended;1;15.2;
;good game just be good at it and youll be fine;Recommended;36;43.1;
;GOOD FUN GAME;Recommended;11;1089.8;
;GAMAEI;Recommended;6;24.2;
;nice game to pass time;Recommended;18;5.9;
;This game is fun for a millisecond until you play against a giganerd,onion smelling loser who plays this game all day everyday in his moms basement eating rotten eggplants for sustenance.;Not Recommended;157;126.4;
;its amazing;Recommended;10;43.2;
;good game to play with friends.;Recommended;26;50.7;
;d;Recommended;1;12.6;
;perh...... mmg padu gile ah!!! korang kene try game ni sumpah;Recommended;51;14.7;
;best game;Recommended;8;44.9;
;this game is ♥♥♥♥♥♥♥ ♥♥♥♥ whoever made this game neeed take this ♥♥♥♥ back to the ♥♥♥♥♥♥♥ mailbox this ♥♥♥♥ garbo;Not Recommended;93;674.0;
;toxic players;Not Recommended;12;1003.7;
;nice game;Recommended;8;63.7;
;very fun;Recommended;7;34.5;
;its amazzing;Recommended;11;79.6;
;Nice;Recommended;4;31.3;
;just try it and you may or may not like it;Recommended;32;90.4;
;brawlhalla is a ♥♥♥♥ game, i think if you ask anyone who played this game more then one hour hed tell ypu ythe same thing, i think the devs are f gg0 ts and the players even more so, and you wANNA KNOW THE WORST THIS ABOUT THIS GAME? if you start no matter how hard you hate it you vcant stop playing.;Not Recommended;239;95.9;
;"the definition of insanity;)";Recommended;25;462.6;
;GAME IS NOT FUN;Not Recommended;12;27.1;
;It gives brain damage;Not Recommended;18;739.8;
;This game is just smash bros but with John Cena;Recommended;38;0.3;
;Game is crazy fun when you know how to combo, i know how it feels to bad just as you start;Recommended;70;7.1;
;heater;Recommended;6;55.5;
;i wish if there is a chat so we can text players and friends in this game;Recommended;57;13.2;
;free schizophrenia;Recommended;17;172.2;
;Crazy stuff! So many characters to pick and feels great with the run for the weapons! Matchmaking also seemed fair, with just noobs coming my way.;Recommended;121;0.1;
;Game runs easily and is easy to het into;Recommended;32;9.1;
;good game if your into self harm;Recommended;26;645.8;
;listen carefully,, play at your own risk.;Recommended;35;3.1;
;High quality platform fighter for absolutely free;Recommended;43;42.1;
;Recommend this game for people, who doesn't want to touch grass. Other than that its a fun game to play with friends or solo.Grind grind grind!;Recommended;118;73.5;
;nice game;Recommended;8;0.7;
;It's alright I guess.;Recommended;18;2502.1;
;listen carefully,, play at your own risk.;Recommended;35;482.9;
;"my indian ""friend"" made me play this game it made me extremely suicidal so please dont play";Not Recommended;75;34.6;
;HOW TO PLAY BRAWLHALLA-OPEN THE GAME-PRESS PLAY-PLAY THE GAMEFUN GAME TO PLAYIT GETS MORE ENJOYABLE WHEN YOU LEARN THE COMBOS;Recommended;106;184.5;
;its okay;Recommended;7;453.5;
;This game is unbalanced and full of toxic players. If you haven't played it before, don't try it.;Not Recommended;80;835.9;
;the gameplay is addicting;Recommended;22;151.8;
;imba;Recommended;4;1616.3;
;game makes me feel like madeleine mccann;Not Recommended;34;89.2;
;Grind, grind, grind;Recommended;17;1819.0;
;I GOT INTO A FIGHT AND THIS GAME MADE ME FIGHT EVEN BETTER!;Recommended;47;4.8;
;How to play brawllhalla:-Turn the game on-Play a match-Throw yourself at the screen-Turn the game off-Uninstall it-Jump out the window;Recommended;115;93.4;
;bruh it'snt good;Not Recommended;14;0.2;
;gooodd like getamped-R;Recommended;20;108.4;
;no ben ten map;Not Recommended;11;5.2;
;ok;Not Recommended;2;1281.2;
;Cool game, just don't be toxic.;Recommended;26;983.2;
;skill diff ig :(;Not Recommended;13;40.2;
;super fun;Recommended;8;7.0;
;Fun;Recommended;3;74.0;
;i thought this was smash bros... my friends lied to me :(;Recommended;46;498.7;
;;Not Recommended;0;84.8;
;hate;Not Recommended;4;63.6;
;.;Recommended;1;6.8;
;This Game is Fun Love It 10/10;Recommended;24;121.2;
;ne;Not Recommended;2;1298.3;
;funny beat up game;Recommended;15;44.4;
;i love brawlhalla its the only game i ever play brawlhalla is my love and my life and ive never been happier than when im playing brawlhalla and i would pay 1000 dollars to play it;Recommended;145;324.6;
;I've lost my will to play this game, I'm broken;Not Recommended;38;51.7;
;♥♥♥♥ game;Not Recommended;8;14.0;
;Hello, ive played brawl on many different platforms and have hit diamond. this game is just not that good, if your looking for exciting and rewarding doges dont play this play a souls game or even something like for honnor. do yuo want fast place gameplay? dont play this people will run and play stupid passive, just play a mainstream fps or a fighting game like DBZF or MVC3. want to have balanced weapons in which all are unique and equally valid? Nope play TF2 or just use hammer and axe. want balanced mechanics? nope sig spam will be in almost any rank because of you play the right characters they are unironically unpunishable after their heaviest attack. This game is a mess with hit boxes worse than R6 day one which is saying something. I truly believe the games main balancing decisions are made by interns.;Not Recommended;673;15.3;
;god god;Recommended;6;186.4;
;Bomboclat brawl;Recommended;14;5.8;
;slay;Recommended;4;19.5;
;Good Super Smash Bros for PC;Recommended;23;78.0;
;this is a hectic game reminds me of smash bros but with cool charactrers 8/10;Recommended;63;8.7;
;Don't play at this game, for your mental sanity.;Not Recommended;40;554.5;
;nice;Recommended;4;187.4;
;jogo bom amo jogar com meu;Recommended;21;7835.1;
;is very fun, ranked can be infuriating tho;Recommended;35;77.3;
;im angryedit: i turned into the hulk;Not Recommended;30;466.2;
;bald;Not Recommended;4;7.2;
;trash game.only fun part about the game was the post game chat which was removed because devs are little pssies.;Not Recommended;93;3174.2;
;Jeu superbe , je commence à être schizophrène et fou grâce à lui;Recommended;52;815.1;
;NO anime breast on my Screen 0/10 lame ass game;Not Recommended;38;4.9;
;I love the fact everyone runs around punching eaach other its very competitive;Recommended;66;296.6;
;kept on down spiking this one dude and won 39-0 before he gave up;Recommended;52;8.2;
;Queen Nai suckssig spamskinsthis is the original multiverse;Recommended;52;63.0;
;balance the game;Not Recommended;14;5.4;
;:/;Not Recommended;2;112.4;
;Dont. You will either get depression or put your keyboard through a wall or both10/10 sanity speedrun recommend;Not Recommended;94;1643.5;
;fun with friends;Recommended;14;115.4;
;clase mierda;Not Recommended;11;55.2;
;SCREW THIS GAME. THIS GAME SUCKS;Recommended;27;499.4;
;No;Not Recommended;2;213.8;
;w game;Recommended;5;4.3;
;best game;Recommended;8;61.6;
;i love this game but please don't play it, it'll ruin your sanity;Recommended;53;29.1;
;very good game honestly;Recommended;20;48.3;
;I play with one hand if im playing mirage;Recommended;33;151.5;
;darb taltesh;Recommended;11;65.6;
;Great;Recommended;5;57.7;
;nobody should ever play this game, unless if you want to be a horrible person;Recommended;63;45.1;
;it prikazanias my jonkey in a bad way bad game from axtsa to ememetzato;Not Recommended;58;26.6;
;:) i like;Recommended;7;96.4;
;good;Recommended;4;672.9;
;Similar to Smash Bros but better imo.;Recommended;31;128.7;
;this game is ♥♥♥♥ and I love it;Recommended;24;204.2;
;asd;Recommended;3;208.4;
;If you like to suffer with toxic players;Not Recommended;33;101.8;
;m9eeewda;Recommended;8;797.4;
;One of the games I actually tried learning and learning the mechanics. It seems fun and can be played casually it can also be in a competitive setting as well. Love the game you should play it;Recommended;156;195.4;
;THIS GAME IS AWESOME GUYS TRUST ME !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!-Help me;Recommended;69;551.6;
;competetive platform pvp with active community and great events, I really enjoyed it;Recommended;72;274.1;
;I personally rate this game 9.2/10. I wrote down some bullet points and gave it to an AI to put it into words for me.Brawlhalla Review: A Love Letter to Competitive MayhemBrawlhalla, developed by Blue Mammoth Games, is a game that doesn’t just live in the shadow of platform fighters—it shines as a star of its own, thriving on chaos, competitive intensity, and pure fun. As a free-to-play platform fighter, it offers a vast range of characters, stages, and modes, ensuring that no match feels quite the same. It's the kind of game that pulls you in with simple mechanics, yet keeps you hooked with a deep, ever-evolving skill ceiling. Having played this game extensively and rated it a 9.2/10, I can wholeheartedly say Brawlhalla is an absolute joy to dive into.Gameplay: Pure Competitive BlissAt the heart of Brawlhalla lies its easy-to-learn, hard-to-master gameplay. Newcomers are quickly acquainted with its mechanics—jumping, dodging, light and heavy attacks—but the depth is revealed once you face more skilled opponents. The controls are fluid, allowing for precision movement and combos, while still retaining a sense of wild unpredictability. It’s the kind of game where you can be bouncing around one minute, then find yourself hurtling off the map from an unexpected aerial combo the next. This frenetic pace is what makes Brawlhalla so exhilarating.The game's roster is as diverse as it is impressive. With over 50 Legends to choose from, each equipped with unique stats, weapon combinations, and abilities, the diversity of playstyles on offer is staggering. Whether you prefer brawling up close with fists or controlling space with long-range attacks, Brawlhalla has a Legend that suits your style. And the regular updates mean that no matter how much time you put into the game, there’s always something new to discover and master.Art Style and Presentation: Vibrant ChaosVisually, Brawlhalla is a colorful, energetic masterpiece. Its art style embraces the cartoonish side of its platform fighter roots, with vibrant backgrounds and character designs that feel both playful and distinct. Each Legend has a personality of their own, conveyed through their animations, skins, and taunts, making every fight feel like a battle between distinct personalities rather than just avatars.The stages are designed with chaos in mind, featuring dynamic platforms, hazards, and environmental obstacles that keep you on your toes. It’s not just about outmaneuvering your opponents but also mastering the stage itself, which adds another layer of depth to each fight.The simplicity of the art style doesn’t take away from the impact of the fights. In fact, it makes the hits feel more satisfying, with every knockout being punctuated by vibrant explosions and sound effects that make your victory (or defeat) all the more intense.Player Experience: Perfect for Casuals and Competitives AlikeOne of the best aspects of Brawlhalla is its accessibility. Whether you’re hopping in for a quick, casual game with friends or grinding ranked mode to climb the competitive ladder, Brawlhalla offers a seamless experience for all types of players. Its cross-platform play means you can brawl with friends no matter what system they're on, and its free-to-play model ensures that anyone can jump in without any financial barrier.Despite its simplicity on the surface, Brawlhalla is surprisingly deep. The weapon system is one of the game’s standout features. Each Legend can wield two distinct weapons, and mastering the moveset of each one is critical to success. The balance between the weapons—be it the graceful swordplay or the brute force of a hammer—keeps each match dynamic and exciting. Add in dodging, edge-guarding, and juggling opponents in the air, and you have a game that rewards both technical prowess and creativity.For the competitive-minded, the ranked mode is where the game truly shines. Each victory feels earned, and each loss a lesson. There's a real sense of progression as you improve, sharpen your strategies, and climb through the ranks. It’s not uncommon to find yourself lost in hours of matches, driven by the desire to outsmart and outfight your opponents. The satisfaction of landing a well-timed combo or a perfectly executed knockout is simply unparalleled.A Community-Driven GameOne of the reasons Brawlhalla feels so alive is its thriving community. The game boasts a strong online presence, with regular tournaments, events, and collaborations that keep players engaged. The devs actively listen to the community, with frequent balance patches and updates that ensure the game stays fresh and competitive. The presence of special event modes and crossovers with popular franchises only add to the game's appeal, bringing in iconic characters from Adventure Time, WWE, Shovel Knight, and more. These collaborations are more than just marketing ploys—they seamlessly integrate into the game and provide a sense of playful excitement.The cosmetic options, while purely aesthetic, allow for endless customization. Whether you're decking out your favorite Legend in an exclusive skin or showing off with new animations and taunts, the game allows players to express their individuality.The Love for BrawlhallaAs someone who rates Brawlhalla a solid 9.2/10, my love for the game stems from the fact that it manages to hit the perfect balance between fun and challenge. Few games can evoke the kind of adrenaline-pumping excitement that Brawlhalla delivers. It’s a game that’s easy to jump into, yet rich enough to sink hundreds of hours into without growing stale. Every match is different, every opponent a new challenge, and every victory a cause for celebration.The thing that sets Brawlhalla apart is that it doesn’t just appeal to competitive players—it welcomes everyone. Whether you're playing solo, with friends, or diving into an all-out free-for-all with randoms, the game is consistently enjoyable. It’s lighthearted enough to keep you laughing and thrilling enough to keep you coming back.Final Verdict: 9.2/10Brawlhalla is a triumph in the platform fighter genre. Its blend of accessible mechanics, diverse roster, and frenetic combat creates an experience that is as thrilling for casual players as it is for competitive veterans. The vibrant art style, engaging gameplay, and constant updates ensure that the game stays fresh and fun, no matter how much time you invest. Whether you're brawling with friends, competing in ranked, or just having fun with the variety of game modes, Brawlhalla stands as one of the most enjoyable, satisfying, and outright addictive games in its genre.If you're a fan of chaotic, fast-paced action with a competitive edge, this is a game you won't want to miss.;Recommended;5676;59.8;
;black screen please help;Recommended;21;13.8;
;smash Hatori 🥵🥵🥵;Recommended;14;33.3;
;spam signature moves= win.bad game, no skill needed. ruins fun. wish i could get the money i spent on this game back;Not Recommended;95;322.0;
;game lakik!;Recommended;10;20.2;
;fun;Recommended;3;71.7;
;good;Recommended;4;40.2;
;Bad servers, so bad that on my screen it showed victory and suddenly the battle continued lmfaoOr sometimes just straight up gets teleported to the voidShould be rewritten in Rust;Not Recommended;150;16.7;
;good;Recommended;4;18.9;
;GOATED;Recommended;6;172.8;
;W game;Recommended;5;32.5;
;they have rayman;Recommended;14;117.4;
;gem nya bagus;Recommended;11;2440.6;
;👍:);Not Recommended;3;973.2;
;so triggering but yet so fun, win streaks are manageable so you arent forever stuck w ur current elo.;Recommended;83;318.1;
;..;Recommended;2;1079.9;
;fun;Recommended;3;26.4;
;d;Recommended;1;122.1;
;the game is fun but play it and a pc is flyng;Recommended;34;110.5;
;such a ♥♥♥♥♥♥♥♥ of a game that my last played was april 12 2016 and im still disgusted by it;Not Recommended;73;24.9;
;goated game, every time i lost i did one pushup... my arms hurt.;Recommended;52;134.7;
;fun 2D fighting game, really fun with friends;Recommended;38;22.9;
;this game may ruin your life;Recommended;23;172.1;
;I dont recommend this game because of the gay ass retarded people who spam and have no skill, and to the creators who make characters like those. DONT EVER PLAY THIS ♥♥♥♥♥♥ GAME;Not Recommended;145;92.9;
;Fun;Recommended;3;18.3;
;this is better than smash bros;Recommended;25;16.1;
;I have skill issue;Not Recommended;15;77.6;
;its fun but only if ur on a low end;Recommended;26;84.9;
;Dumb asf game;Not Recommended;11;1236.4;
;sometimes cool to play BUT sometimes you want to sut your vanes with a spoon.10/10;Recommended;68;378.2;
;W game, download it now!;Recommended;20;138.7;
;Love it ☠️;Recommended;8;1348.3;
;pior jogo lkixo q ja vi na minha vida inbteiria jogo de filho da puta completo arrombado buceta caralhpo;Not Recommended;86;23.7;
;I would personally not spend too much time in this one fellas;Recommended;50;1393.7;
;Do not recommend if you value your time :);Recommended;34;802.1;
;i hate this game, myself, and life.would recommend!;Recommended;44;706.7;
;GG GAME;Recommended;6;26.2;
;yes;Recommended;3;5.9;
;Like a hot girlfriend you just can't get over it. Once you're invested it's too late to go back. HIGHLY ADDICTIVE GAME I DON'T RECOMMEND!;Not Recommended;113;44.6;
;super smash bros on drugs;Recommended;21;42.9;
;No;Not Recommended;2;512.5;
;okay this game is bad but not that bad,if you wanna play with your friends it's fine but competitive gameplay is really hard you have to learn every weapons gameplay and read the ennemy to really begin to be good at the game.or you can just spam one big lateral attack.yup this game have a bad matchmaking and have characters that are objectivly better than others. it begins to fade only at diamond rank... so yeah i would recommend but not to anyone.there is also some combos that are insane and can just obliterate most of the competition so if you wanna be diamond learn thoses 02Death combos and you're good but i tend to not enjoy the game anymore so gl everyone else.;Recommended;551;720.2;
;remove scythe pls;Not Recommended;15;1158.8;
;teros gives me anxiety;Recommended;19;353.7;
;yes;Recommended;3;54.4;
;very fun also can ruin friendships but very fun;Recommended;39;120.7;
;yea.;Recommended;4;1530.0;
;idk it's just good;Recommended;15;1135.5;
;"This game is really fun, yeaaa realllyy funnn ;-;";Recommended;41;1085.0;
;Nice Games Jermy :);Recommended;16;85.7;
;Immersing myself in the vibrant chaos of Brawlhalla, I felt a rush of adrenaline. The multiplayer balance is commendable, fostering a competitive scene that thrills and challenges, ultimately providing a fair and engaging experience.‍;Recommended;201;3.1;
;4;Recommended;1;68.8;
;i love it;Recommended;7;58.8;
;This game sucks lol;Not Recommended;16;5.9;
;fun and fast;Recommended;10;78.1;
;have broken 2 monitor's and 2 headsets and 1 mouse since i started playing;Recommended;61;564.8;
;This one is Ubisoft's peak creation;Recommended;30;7.7;
;love the game;Recommended;11;78.3;
;hood smash bros;Recommended;13;2.7;
;ITS SO GOOD. MAKES ME CREAM;Recommended;22;48.3;
;"gold 1 silver 5 gold 1 silver 5 gold 1 silver 5 gold 1 silver5iofrjgtprjmtgrk;lmblrtojnrtlogt;bkmlngfolrijogtrjhotihjrtgiotriklhrgkpotrptrpogtroorrgrgiotiogbjioffjiotrjmhtiohjtrihojtriojtriogjrtiotoijtoijtriohtr gvrfeegv";Not Recommended;205;299.8;
;GG;Recommended;2;12.6;
;W game;Recommended;5;11.1;
;jigglypuff simulator;Not Recommended;19;1.0;
;i lost :v;Not Recommended;7;113.0;
;Watch out for the Dominican Republic;Recommended;31;2355.8;
;"""Old But Gold"" I recommend this game . also recommend to have some friends for playing together.(Otherwise, it will get boring after a while)";Recommended;118;4.9;
;reakl good bro;Recommended;12;108.0;
;gg;Recommended;2;10.0;
;i got the game today and am terrible at it. Ive been playing on ps4 for like 5 years;Recommended;66;8.1;
;My friend who I play Counter Strike 2 with said if I post a review on this game and it gets 5000 likes and 5000 Awards that he will buy me a RTX 3080 and 2 Kilos of The lamb ham. So I'm just gonna leave this here Help a brotha ~∧＿∧（｡･ω･｡)つ━☆・*。⊂　　 ノ 　　　・゜+.しーＪ　　　°。+ *´¨).• ´¸.•*´¨) ¸.•*¨)(¸.•´ (¸.•’*;Recommended;244;0.3;
;.;Recommended;1;40.5;
;I keep telling myself that i love brawl, it hasnt worked yet.;Recommended;50;513.3;
;kaka;Recommended;4;414.1;
;lucien;Recommended;6;207.3;
;SOOOOOOO FUNNNNNNNN;Recommended;18;125.5;
;s;Not Recommended;1;226.9;
;Not bad;Recommended;6;32.1;
;Nice!;Recommended;5;165.2;
;good;Recommended;4;11.9;
;if you want to reach 200 bps at least once in life , this would be the ideal game :);Recommended;65;626.3;
;veri gud geim;Recommended;11;16.9;
;i love this game so much (i have like 700 hours);Recommended;38;885.4;
;its so good;Recommended;9;1002.7;
;.;Not Recommended;1;1848.3;
;;Recommended;0;75.6;
;lame ass game;Recommended;11;242.4;
;i beat to braw;Recommended;11;3.5;
;It's competitive and fun.;Recommended;22;32.8;
;nerf mordex;Recommended;10;203.9;
;♥♥♥♥♥♥♥♥♥♥ , дрочильня одного скилла в матчемейкинге и 40 летние смурфы ебашущие 24/7 , в перерыве отвлекаясь максимум на своего отца с не мытыми иичками которые так и наровят залезть в рот к этому дегенерату( без нэгатива гайсы );Not Recommended;192;71.1;
;glurp;Recommended;5;990.5;
;This game makes you rage in a fabulous way;Recommended;34;9.6;
;kikikiikikikikkiikikik;Recommended;22;297.0;
;i wanna kill my dog;Recommended;15;86.3;
;kos um il le3bahkos um illi 3malhakos um israel<3;Not Recommended;41;1457.1;
;bad game;Not Recommended;7;82.2;
;krill issue;Recommended;10;421.4;
;great game i started on phone and now i tried it on my pc, it is actually a good game once you get to play it;Recommended;84;9.2;
;If u wish to get every single possible illnes in the world and loose braincells this is the right game for you. I strongly recomend it to people with anger issues. Last not least I STRONGLY STRONGLY STRONGLY recomend if there is anybody that's reading this, and has anger issues go play ranked and enjoy your self!!!P.S.Tell me how much stuff u broke while at it <3;Recommended;299;91.0;
;Basic, but fun fighting game. Most weapons are easy to use and have at least 1 combo to spam if you're bad. If you're looking for a fighting game that has in depth combat, hard to learn combos and a good competitive scene, this really isn't it. Brawlhalla is more of that game you get on once and a while, play your favourite character and get on with your day. Pretty mid overall, but I'd ♥♥♥♥ Artemis.;Recommended;327;168.5;
;I Love This Game!;Recommended;14;19.2;
;fix the game;Not Recommended;10;161.6;
;its only fun if you're playing with your friends.;Recommended;41;284.0;
;This game makes me contemplate life, if you wanna go skydiving without a parachute, play it;Not Recommended;76;361.1;
;♥♥♥♥♥♥ game filled with sweatys little ♥♥♥♥♥.....;Recommended;43;62.0;
;makes me very angy;Not Recommended;15;161.9;
;my life is brawlhalla;Recommended;18;368.3;
;I like the games;Recommended;13;396.9;
;TAI LUNG JE MORDEX;Recommended;15;219.3;
;dog dia spam;Not Recommended;10;390.9;
;THIS GAME IS THE WORST GAME TO EVER TOUCH THIS EARTH IN THIS WORLD PLS NERF AXE IMUGI LOKI RED RAPTOR THEA I HATE HER AND THIS GAME SO PLS NERF ALL THE THINGS I LISTED PLS UPDATE THIS GAME TODAY OR ELSE SOMETHING BAD WILL HAPPEN TO EVERONE THAT HELPED WITH UPDATING THE GAME AND MAKING THE GAME PLS FIRE THEM AND TELL THEM TO NEVER SEE THIS GAME TOUCH THIS GAME TALK ABOUT THIS GAME HEAR ABOUT THIS GAME SO PLS AND ALSO CAN YOU PLS ADD A SYTHE AND BOOTS PLAYER AND SYTHE AND CANNON PLAYER I KNOW WHERE YOU LIVE SO DONE SO NO I WILL BOMB YOU AND NUKE YOU IF YOU SO NO TO THIS AND YOU BETTER SO YES CAUSE I WILL BE MAD AT YOU GUYS AND I WILL TELL EVERYONE TO NEVER TOUCH THIS GAME AGAIN THE END!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;Not Recommended;598;106.4;
;trash game;Recommended;9;1366.6;
;it is nice;Recommended;8;44.8;
;Just good.;Recommended;9;166.8;
;get help instead;Not Recommended;14;1018.9;
;عالی هست;Recommended;7;30.0;
;when the ♥♥♥♥ is the next ranked season;Not Recommended;32;84.7;
;Amazing;Recommended;7;186.5;
;very good fight game verry yes;Recommended;25;135.1;
;Great CASUAL fighting game. Competitively, this game is not worth it. There are a few select characters that you can use at a higher skill level, the rest are overshadowed by poor character/weapon design and newer characters. (Power creep is very real.);Not Recommended;212;1929.1;
;THIS GAME IS OS SO SO SO GOOD, PLAY IT WITH ME AND ILL BE YOUR FRIEND FOREVER, THANKS FOR READING HARHARHARH.........they threatened me :(;Recommended;114;117.2;
;5tttt;Recommended;5;131.6;
;it's fun to play with friends, don't play ranked 👍;Not Recommended;41;39.5;
;I ABSOLUTELY ADORE THIS GAME ITS AMAZING SOO GOOD IVE PLAYED FOR YEARS HEAVILY RECOMMEND JUST GRIND TRAINING IF U WANNA PLAY RANKED DONT RAGE!;Recommended;118;213.0;
;good;Recommended;4;3.8;
;Smash Clone (very fun) better then smash (lies);Recommended;40;65.2;
;WELCOME TO BRAWLHALLA;Recommended;19;269.5;
;♥♥♥♥ this game;Not Recommended;12;8.4;
;no....;Not Recommended;6;554.3;
;this game is the worse game u will ever play.;Not Recommended;36;500.0;
;makes me want to jump of a bridgegreat game;Recommended;35;2441.0;
;♥♥♥♥ this game man made me brake my keyboard;Not Recommended;36;6.2;
;totally a fun game, till you realise sweaty no lives ♥♥♥♥ on you. still a 10/10;Recommended;64;674.3;
;I'd have to say this is the worst game unless you like to get your blood boiling because the gaming community is the most homosexual, daddy issue, neglected, disowned, and unloved ♥♥♥♥♥♥♥ known to man.;Not Recommended;167;651.9;
;game;Recommended;4;342.3;
;best game;Recommended;8;32.5;
;pretty good so far;Recommended;15;22.1;
;BUTT;Recommended;4;1.3;
;cool;Recommended;4;5.9;
;3k hours playstation, fun playing 2s and wanting to end your life with your homies. (2400) Community is toxic, queue is dead a good amount of the time in high elo. Wish they would add a new game changing mechanic. Its a cool game to play a quick ranked match or two then hop off. Don't waste your life on it like me :O;Not Recommended;255;810.1;
;nice game;Recommended;8;266.1;
;VERY GOOD AND FUN GAME ESPECIALLY WITH FRIENDS;Recommended;39;566.9;
;fun game with friends;Recommended;18;121.9;
;Sold my soul to play this game. It was worth it tho.;Recommended;41;1070.6;
;z;Recommended;1;90.1;
;kill me;Recommended;6;1141.6;
;Very fun. all the bad reviews are just people that dont know hot to combo or play;Recommended;65;103.2;
;just don't;Not Recommended;9;6.3;
;Great game! Its like a free Super Smash Bros. Highly recommend!;Recommended;53;3.8;
;♥♥♥♥ this ♥♥♥♥ bro im high gold but cant stop playing the game its addictive;Not Recommended;62;5.7;
;Skilled and good game, I have the most fun when playing with friends;Recommended;56;122.3;
;be prepared for depression and agony;Recommended;31;956.0;
;bad game, there are flying ants;Not Recommended;26;78.4;
;Kako Da Dodzujem (nije na shift);Not Recommended;27;14.3;
;highlyyyyyy addictive;Recommended;20;156.2;
;a;Not Recommended;1;258.0;
;After like 200 rank games.... i can confidently say. Too much sig spam.;Not Recommended;59;57.1;
;♥♥♥♥ GAME;Not Recommended;8;414.1;
;why cant i see battlepasss season 10 on dlc?;Recommended;36;692.9;
;Bom pra passar raiva, horrível em todo o resto;Not Recommended;38;145.1;
;BEST GAME EVER;Recommended;12;978.7;
;Brawlhalla is a very fun and addicting game. Until you get into ranked. It then becomes the most rage inducing game ever made. 5/5, would recommend.;Recommended;123;174.4;
;Good game with friends to pass the time.;Recommended;33;6.0;
;No, dont play this pile of flaming, steaming, ♥♥♥♥♥♥♥, that could be compared to a bucket of ♥♥♥♥ stained ♥♥♥;Not Recommended;90;134.8;
;So many sig spammers;Not Recommended;17;44.5;
;♥♥♥♥♥♥ game for 400 pound discord mods with no life. Booties make me want to end it all.;Not Recommended;71;10.8;
;There is a very good game;Recommended;20;157.3;
;epik game;Recommended;8;4.8;
;big big stinky;Not Recommended;12;118.8;
;game makes me pissed;Recommended;17;142.2;
;Brawlhalla where I’ve put in more hours than I have sleep this week, my thumbs are sore, but my pride is hurting way more10/10;Recommended;103;402.7;
